index,Merchant Name,Merchant City,Merchant State,MCC
13521,6419,4954,142,4121
13525,4296,4954,142,4829
13526,17405,4954,142,5310
16093,15798,5925,53,5045
16095,3135,5925,53,5311
16110,19103,5925,53,5411
16111,8351,5925,53,5411
16138,6869,5925,53,3389
16139,6869,5925,53,3389
16141,21830,5925,53,5311
16148,13965,5925,53,5311
30486,12509,4954,142,5651
30488,1153,3245,76,5812
30489,4296,4954,142,4829
30490,9706,4187,76,5932
30491,18787,4954,142,5311
30492,11993,4954,142,7922
30493,4296,4954,142,4829
30963,18803,3279,76,7922
30964,20972,4954,142,4814
32320,12274,4954,142,5300
32321,4296,4954,142,4829
39652,864,4954,142,5310
39653,12274,4954,142,5300
39654,1363,4954,142,5815
39655,4296,4954,142,4829
41158,5591,4954,142,5815
41159,17266,4954,142,3075
41160,1886,4954,142,5311
42093,358,5925,53,5499
42101,13965,5925,53,5311
42102,6647,5925,53,5947
42104,1886,5925,53,5311
42106,12435,5925,53,5541
42685,7668,4954,142,5310
42686,14719,1152,76,5300
42687,18696,4954,142,4814
42688,11325,3245,76,5411
54410,17767,5925,53,5310
54412,21830,5925,53,5311
54413,1886,5925,53,5311
54414,15192,5925,53,5814
54415,13965,5925,53,5311
54416,10491,5925,53,5211
54417,1886,5925,53,5311
54418,21830,5925,53,5311
55964,9146,13,86,5310
55981,472,13,86,5651
55987,472,13,86,5651
55992,9146,13,86,5310
56012,5324,13,86,7011
56017,14554,13,86,5814
56136,10834,515,15,5300
57470,12274,4954,142,5300
57471,19154,4954,142,5311
57472,1509,4954,142,5311
57473,1363,4954,142,5815
57475,149,4954,142,5045
57476,2914,4954,142,5311
57487,21463,6945,55,5310
66455,19482,4954,142,5193
66456,2658,4954,142,5251
66457,2914,4954,142,5311
66458,15192,4954,142,5814
71282,4296,4954,142,4829
71283,3135,4954,142,5311
71284,17393,4954,142,5311
71285,20572,4954,142,5310
71287,6077,4954,142,5311
71567,3135,4954,142,5311
71568,18641,4954,142,5211
71571,6133,4954,142,7832
71572,15770,4954,142,3596
71573,1509,4954,142,5311
71574,2727,4954,142,5814
71575,1495,4954,142,5816
71577,6505,6969,63,7210
71579,4296,4954,142,4829
71587,15770,4954,142,3596
71588,15770,4954,142,3596
76213,4296,4954,142,4829
76214,11252,4954,142,4899
76215,15358,4954,142,4814
76216,19919,6969,63,4121
76217,4296,4954,142,4829
85740,17888,4954,142,9402
85741,4296,4954,142,4829
85742,14636,4954,142,4722
85743,5591,4954,142,5815
85747,14636,4954,142,4722
85748,14636,4954,142,4722
86168,19318,4954,142,5251
89154,19103,5925,53,5411
89155,2514,5925,53,5712
89159,3135,5925,53,5311
89160,3135,5925,53,5311
89161,18641,5925,53,5211
89167,814,5925,53,5912
89172,12026,5925,53,3722
89174,814,5925,53,5912
89175,21830,5925,53,5311
89176,358,5925,53,5499
89177,21830,5925,53,5311
89178,17767,5925,53,5310
89192,12026,5925,53,3722
89193,1886,5925,53,5311
89198,10360,5925,53,5814
89199,19103,5925,53,5411
91594,3135,4954,142,5311
91595,18187,2534,83,4121
91596,1363,4954,142,5815
91597,12261,4954,142,3359
91609,12261,4954,142,3359
91610,12261,4954,142,3359
114906,4296,4954,142,4829
114907,5252,4954,142,5193
114908,3135,4954,142,5311
123096,12509,4954,142,5651
123098,2514,4954,142,5719
123099,8185,4954,142,5970
123104,5591,4954,142,5815
123105,14548,4954,142,5310
123107,17475,4954,142,5912
123109,17393,4954,142,5311
123110,9648,4954,142,3001
124342,2461,4954,142,5310
124344,19154,4954,142,5311
124345,19554,4954,142,7996
124348,5479,2135,32,5300
124349,12274,4954,142,5300
124350,4296,4954,142,4829
124351,2199,4656,32,5300
142966,17249,4954,142,7922
142970,1509,4954,142,5311
142971,18641,4954,142,5211
143955,4296,4954,142,4829
143956,4296,4954,142,4829
143957,1886,4954,142,5311
143959,7249,4391,45,7832
143960,7249,4391,45,7832
150907,14309,4954,142,3174
159684,3645,6689,88,5912
159685,6498,4954,142,5719
159686,7228,4954,142,3390
159687,17405,4954,142,5310
159688,8799,4954,142,4411
159689,20248,4954,142,3395
159690,11993,4954,142,7922
159692,4898,6689,88,8021
159693,20248,4954,142,3395
159694,20248,4954,142,3395
159696,7228,4954,142,3390
159697,7228,4954,142,3390
160181,13965,4954,142,5311
160182,16211,4954,142,5732
160183,11993,4954,142,7922
160785,9307,5925,53,5814
160787,17581,5925,53,5094
160789,13607,5925,53,5932
160790,17087,5925,53,4121
160791,15798,5925,53,5045
160797,10459,5925,53,5712
160798,3135,5925,53,5311
167522,20767,4954,142,5311
168519,12274,4954,142,5300
180903,8351,5925,53,5411
180904,10491,5925,53,5211
180918,17767,5925,53,5310
180919,13965,5925,53,5311
180923,6869,5925,53,3389
180924,6869,5925,53,3389
180925,814,5925,53,5912
180933,12435,5925,53,5541
180939,6869,5925,53,3389
185454,21830,4954,142,5311
185455,1886,4954,142,5311
185457,21830,4954,142,5311
185458,17266,4954,142,3075
185459,10154,4954,142,3640
185461,10154,4954,142,3640
185462,10154,4954,142,3640
185467,14122,581,89,5300
185468,2914,4954,142,5311
187107,3135,4954,142,5311
187108,8682,5548,41,4121
187112,2514,4954,142,5719
187113,19761,4954,142,5311
187115,8565,4954,142,4411
187116,17045,4954,142,5912
187118,5917,4954,142,5912
187121,747,4954,142,3005
187122,4980,4954,142,4214
187126,8029,5548,41,5921
189980,4296,4954,142,4829
189981,3732,6689,88,5812
189982,18586,4954,142,5814
189984,5225,4954,142,7801
189985,2514,4954,142,5719
189989,18641,4954,142,5211
200863,4980,4954,142,4214
200866,4296,4954,142,4829
200867,4296,4954,142,4829
200868,21830,4954,142,5311
202483,8351,5925,53,5411
202485,814,5925,53,5912
202487,21830,5925,53,5311
202488,6869,5925,53,3389
202489,6869,5925,53,3389
202490,21830,5925,53,5311
202491,2828,5925,53,5812
202492,6869,5925,53,3389
202496,17581,5925,53,5094
202497,3448,5925,53,3007
203341,20572,4954,142,5310
203342,2727,4954,142,5814
203343,12274,4954,142,5300
203344,4296,4954,142,4829
203345,5591,4954,142,5815
203346,4296,4954,142,4829
203348,11673,6689,88,7531
203350,2514,4954,142,5719
203351,6231,4954,142,4112
203352,3135,4954,142,5311
203353,2658,4954,142,5251
203354,1400,4954,142,4411
203406,3135,4954,142,5311
203407,18641,4954,142,5211
203408,20767,4954,142,5311
203409,19562,6689,88,5411
203410,12026,4954,142,3722
203411,17821,6689,88,5211
203412,21830,4954,142,5311
203413,10882,6689,88,5300
203414,20248,4954,142,3395
203416,12026,4954,142,3722
203417,12026,4954,142,3722
203420,20248,4954,142,3395
203421,20248,4954,142,3395
203674,9049,4954,142,5651
203675,8799,4954,142,4411
203676,2461,4954,142,5310
203678,16005,7029,89,5300
203679,3135,4954,142,5311
203680,9934,4954,142,5651
203681,5876,4954,142,5977
203682,21830,4954,142,5311
203683,19372,6570,89,5300
203782,19318,4954,142,5251
203783,15890,4954,142,7996
203784,2974,4954,142,7832
203785,6770,4954,142,5733
203786,13273,3347,89,7542
203787,11079,4954,142,4131
203788,16211,4954,142,5732
203789,15044,4954,142,3405
203790,15358,4954,142,4814
203791,11993,4954,142,7922
203795,15044,4954,142,3405
203796,15044,4954,142,3405
203862,3503,4954,142,4814
203863,2461,4954,142,5310
203864,12274,4954,142,5300
216372,10882,6689,88,5300
216373,12274,4954,142,5300
216374,19798,4954,142,4722
216375,5927,4954,142,5942
216376,8560,4954,142,5311
216377,6150,6689,88,5310
216378,19761,4954,142,5311
216379,12261,4954,142,3359
216380,19798,4954,142,4722
216381,19798,4954,142,4722
216382,12261,4954,142,3359
216383,12261,4954,142,3359
216558,16211,4954,142,5732
216821,19554,4954,142,7996
216822,14636,4954,142,4722
216823,5917,4954,142,5912
216824,14255,4954,142,5651
216825,1509,4954,142,5311
216826,11953,4954,142,5814
224503,12563,4954,142,5094
224504,16211,4954,142,5732
224505,12274,4954,142,5300
224914,6869,2717,88,3389
224915,11111,274,88,5814
224917,4296,834,88,4829
224918,358,479,88,5499
224922,6869,2717,88,3389
224923,6869,2717,88,3389
224924,2514,6590,88,5719
224925,358,479,88,5499
224927,22118,3949,88,5411
225468,17405,4954,142,5310
225469,12274,4954,142,5300
225470,9250,4954,142,4411
225471,12274,4954,142,5300
225472,17522,4954,142,5533
225473,1495,4954,142,5816
225474,4446,4954,142,5533
225475,1164,4954,142,3771
225476,18787,4954,142,5311
225477,8560,4954,142,5311
225478,16211,4954,142,5732
225481,5917,4954,142,5912
225482,6498,4954,142,5719
225485,1164,4954,142,3771
225486,1164,4954,142,3771
243325,8565,4954,142,4411
243326,14255,4954,142,5651
243332,12274,4954,142,5300
243333,12274,4954,142,5300
243336,12274,4954,142,5300
243337,5252,4954,142,5193
243338,18282,5548,41,5310
243339,16310,4954,142,5816
243341,17393,4954,142,5311
243342,4369,4954,142,5045
246622,17836,3286,92,4214
246625,12563,4954,142,5094
246626,5225,4954,142,7801
246629,1886,4954,142,5311
246632,5927,4954,142,5942
246633,8185,4954,142,5970
246634,21770,1897,92,5300
246641,17754,4954,142,5912
246644,19154,4954,142,5311
246646,8185,4954,142,5970
273220,485,4954,142,5816
273221,4296,4954,142,4829
273222,12795,6720,88,7995
273223,17522,4954,142,5533
273224,4959,6720,88,5813
273227,4296,4954,142,4829
273228,19206,6689,88,5193
273229,15480,6689,88,5655
273230,6150,6689,88,5310
273231,19562,6689,88,5411
273232,19206,6689,88,5193
273233,14307,6689,88,4121
273234,14,4954,142,3780
273236,17609,4954,142,5045
273237,17393,4954,142,5311
273238,152,4954,142,3509
273239,2914,4954,142,5311
273240,5591,4954,142,5815
273241,12274,4954,142,5300
273242,18428,4954,142,3066
273243,7668,4954,142,5310
273244,4296,4954,142,4829
273245,16211,4954,142,5732
273246,10737,6689,88,7922
273247,864,4954,142,5310
273249,14,4954,142,3780
273250,14,4954,142,3780
273255,152,4954,142,3509
273256,152,4954,142,3509
283571,16101,4954,142,5732
283572,4216,5786,118,5813
283777,8560,4954,142,5311
283778,6419,4954,142,4121
283780,4296,4954,142,4829
305991,12274,4954,142,5300
305992,18350,4954,142,5815
313952,4296,4954,142,4829
313953,4347,4954,142,5211
313954,9136,4954,142,3009
313955,20702,4954,142,5661
313956,18787,4954,142,5311
313957,15770,4954,142,3596
313958,16717,4954,142,3775
313959,16717,4954,142,3775
313960,2914,4954,142,5311
313961,15770,4954,142,3596
313962,15770,4954,142,3596
313965,16717,4954,142,3775
313966,16717,4954,142,3775
313967,16717,4954,142,3775
313968,16717,4954,142,3775
315073,12795,6720,88,7995
315074,14255,4954,142,5651
315075,6077,4954,142,5311
315076,12274,4954,142,5300
315077,12274,4954,142,5300
315078,6419,4954,142,4121
