index,User,Card,Use Chip
1224,824,1,2
1225,824,1,1
1226,824,1,2
1227,824,1,1
1228,824,1,1
1230,824,1,1
1231,824,1,1
1232,824,1,1
1233,824,1,1
1236,824,1,1
1237,824,1,1
1238,824,1,1
6627,824,2,1
10695,825,0,1
10697,825,0,1
10699,825,0,1
10700,825,0,1
10703,825,0,1
10704,825,0,1
10708,825,0,1
10709,825,0,1
28085,827,1,1
28086,827,1,2
28087,827,1,2
28088,827,1,1
28132,827,1,1
28133,827,1,1
28134,827,1,1
28137,827,1,1
28139,827,1,1
28141,827,1,2
28142,827,1,1
31224,827,1,0
31225,827,1,0
31226,827,1,0
31230,827,1,0
31234,827,1,0
31235,827,1,0
31240,827,1,0
31242,827,1,0
31245,827,1,0
31248,827,1,0
31251,827,1,0
31753,827,2,1
31754,827,2,1
31755,827,2,2
31756,827,2,2
31757,827,2,1
34778,829,0,2
39293,829,0,1
39294,829,0,1
39296,829,0,1
39297,829,0,1
39298,829,0,1
39299,829,0,1
39300,829,0,1
39301,829,0,1
39302,829,0,1
39303,829,0,1
39305,829,0,1
39306,829,0,1
40228,829,1,1
41451,829,1,1
41454,829,1,1
41455,829,1,1
41456,829,1,1
41457,829,1,1
41458,829,1,1
43899,829,3,0
43900,829,3,0
43904,829,3,0
43905,829,3,0
43907,829,3,0
43908,829,3,0
43909,829,3,0
43913,829,3,0
43919,829,3,0
43920,829,3,0
48636,831,0,2
48638,831,0,2
48642,831,0,2
48653,831,0,2
48654,831,0,2
56341,831,0,1
56342,831,0,1
56344,831,0,1
56345,831,0,1
68334,831,1,1
68335,831,1,2
68337,831,1,1
68338,831,1,1
68339,831,1,1
68340,831,1,2
68341,831,1,1
68342,831,1,1
68343,831,1,1
68344,831,1,1
68352,831,1,1
68353,831,1,1
73230,831,3,1
73231,831,3,1
73232,831,3,1
73233,831,3,1
73238,831,3,1
75008,832,0,2
75010,832,0,2
75013,832,0,2
75014,832,0,2
75015,832,0,2
75017,832,0,2
75025,832,0,2
75026,832,0,2
75029,832,0,2
75035,832,0,2
75036,832,0,2
75037,832,0,2
79101,832,0,1
79102,832,0,1
79103,832,0,1
79104,832,0,1
79106,832,0,1
79108,832,0,1
79109,832,0,1
79110,832,0,1
79111,832,0,1
79112,832,0,1
79113,832,0,1
79115,832,0,1
79116,832,0,1
91531,832,1,2
101646,832,1,1
101647,832,1,1
101652,832,1,1
103857,832,2,2
103858,832,2,2
103863,832,2,2
103864,832,2,1
103865,832,2,1
103866,832,2,1
103867,832,2,1
103868,832,2,2
105032,833,1,2
105033,833,1,2
105038,833,1,2
105039,833,1,2
105041,833,1,2
105056,833,1,2
105065,833,1,2
108112,833,1,1
108113,833,1,1
108114,833,1,1
108115,833,1,1
110672,833,2,2
110673,833,2,1
110675,833,2,1
110676,833,2,1
116558,835,0,1
116559,835,0,1
116560,835,0,1
116561,835,0,1
116562,835,0,1
116563,835,0,2
116566,835,0,1
116567,835,0,1
130893,835,3,1
130894,835,3,2
130895,835,3,1
130896,835,3,1
132389,835,3,0
132390,835,3,1
132392,835,3,1
141087,836,0,1
141091,836,0,1
141092,836,0,1
141093,836,0,1
141094,836,0,0
141095,836,0,1
141141,836,0,1
141142,836,0,1
141350,836,0,2
141351,836,0,0
141629,836,0,2
145655,836,1,1
145656,836,1,1
148975,836,2,1
148977,836,2,1
148979,836,2,2
148984,836,2,2
148985,836,2,1
148986,836,2,1
148990,836,2,1
148991,836,2,1
150089,836,2,1
155112,838,0,1
155113,838,0,1
155114,838,0,1
155118,838,0,1
155119,838,0,1
155130,838,0,1
155131,838,0,1
155133,838,0,1
155134,838,0,1
155153,838,0,1
155155,838,0,2
155156,838,0,1
155157,838,0,1
155171,838,0,1
155172,838,0,1
155410,838,0,1
155411,838,0,1
155412,838,0,1
155413,838,0,1
155414,838,0,1
155415,838,0,1
155416,838,0,1
155417,838,0,1
155418,838,0,1
155419,838,0,1
155420,838,0,1
155421,838,0,1
155422,838,0,1
155423,838,0,1
155424,838,0,1
155425,838,0,1
155430,838,0,1
155431,838,0,1
158687,838,0,1
173110,838,1,1
173111,838,1,1
173112,838,1,1
173113,838,1,1
173114,838,1,1
173115,838,1,1
173116,838,1,1
174312,838,1,2
174313,838,1,1
174314,838,1,1
174315,838,1,1
174316,838,1,1
174317,838,1,1
174319,838,1,1
174321,838,1,1
174322,838,1,1
174336,838,1,1
174337,838,1,1
183726,838,3,1
183727,838,3,1
183728,838,3,1
183729,838,3,1
183730,838,3,1
183731,838,3,1
183732,838,3,1
183733,838,3,1
183734,838,3,1
183738,838,3,1
183739,838,3,0
184637,838,3,0
184641,838,3,0
184642,838,3,0
184643,838,3,0
184644,838,3,0
184648,838,3,0
184652,838,3,0
184657,838,3,0
184658,838,3,0
184659,838,3,0
197266,840,3,0
197267,840,3,0
197282,840,3,0
197288,840,3,0
197289,840,3,0
197295,840,3,0
197296,840,3,0
197299,840,3,0
200277,841,2,2
200285,841,2,2
200295,841,2,2
214062,841,2,1
214063,841,2,1
214064,841,2,1
214065,841,2,1
214066,841,2,2
214073,841,2,1
214074,841,2,2
215163,841,2,1
215177,841,2,1
215180,841,2,1
215181,841,2,1
215190,841,2,1
215191,841,2,1
215205,841,2,1
215215,841,2,1
215216,841,2,1
215239,841,2,1
215259,841,2,1
215260,841,2,1
215276,841,2,1
215290,841,2,2
215291,841,2,1
215293,841,2,1
215297,841,2,2
215298,841,2,1
220292,841,2,1
220293,841,2,1
220294,841,2,1
220303,841,2,1
220304,841,2,1
233689,841,5,1
233690,841,5,1
233691,841,5,1
233692,841,5,1
237794,842,1,1
237795,842,1,1
237796,842,1,1
237797,842,1,1
237798,842,1,1
237799,842,1,1
237800,842,1,1
237801,842,1,1
237802,842,1,1
237803,842,1,1
