index,User,Merchant Name,Amount,Is Fraud?,Datetime_As_Float
10709,1788,11981,8.05,1,7325.540277777778
18999,1788,2522,218.0,1,3766.6368055555554
19000,1788,21583,38.72,1,3766.665972222222
19019,1788,2522,98.45,1,3774.3958333333335
19020,1788,2522,-218.0,1,3774.408333333333
20315,1788,11976,201.45,1,4404.613194444444
20317,1788,9900,395.0,1,4405.500694444445
20318,1788,17313,179.7,1,4405.50625
20319,1788,2815,16.24,1,4405.545833333334
20320,1788,18653,40.81,1,4405.555555555556
20323,1788,19729,1.82,1,4405.8694444444445
20331,1788,9900,-395.0,1,4409.402777777777
20332,1788,9900,251.62,1,4409.413194444444
23348,1788,11976,174.91,1,6992.434722222222
23349,1788,10323,0.04,1,6992.542361111111
26113,1789,8027,108.45,1,4632.35625
26114,1789,889,45.47,1,4632.361111111111
26115,1789,12269,103.43,1,4632.465972222222
26117,1789,6002,194.32,1,4633.553472222222
26118,1789,3562,64.91,1,4633.558333333333
26119,1789,7548,138.23,1,4633.584027777778
26120,1789,3475,1.73,1,4633.591666666666
26123,1789,11976,35.03,1,4635.503472222223
30818,1789,16779,4.7,1,6397.409722222223
30819,1789,10825,415.19,1,6397.414583333333
30820,1789,17313,39.66,1,6397.485416666666
30821,1789,6404,48.65,1,6397.486111111111
30822,1789,6404,3.6,1,6397.608333333334
30823,1789,4224,95.07,1,6398.3069444444445
30824,1789,11677,21.52,1,6398.311111111111
30825,1789,15782,42.58,1,6398.395833333333
30826,1789,11976,51.52,1,6398.415277777778
30827,1789,2396,77.9,1,6398.575694444445
30828,1789,6140,0.91,1,6398.586805555556
30829,1789,3995,152.23,1,6398.590972222222
30830,1789,3051,572.56,1,6398.661805555556
30832,1789,16281,394.0,1,6399.647916666667
30833,1789,4224,89.56,1,6400.334722222222
30834,1789,16281,-394.0,1,6402.552083333333
30835,1789,16281,5.22,1,6402.554861111111
31110,1789,15782,275.94,1,7151.391666666666
31111,1789,8408,199.22,1,7151.4375
31112,1789,18803,21.27,1,7151.663888888889
31113,1789,1829,4.42,1,7151.68125
31114,1789,2439,366.42,1,7151.686111111111
31115,1789,4224,31.04,1,7151.688194444445
31116,1789,15782,202.18,1,7151.704861111111
31117,1789,11921,129.25,1,7153.572222222222
31118,1789,8931,130.34,1,7153.669444444445
31119,1789,11976,415.78,1,7153.672222222222
31251,1789,11976,404.55,1,7509.493055555556
31252,1789,13838,11.67,1,7509.533333333334
31280,1789,4224,326.16,1,7568.464583333333
31281,1789,14180,146.08,1,7568.647222222222
31282,1789,4224,133.05,1,7568.658333333334
32221,1789,7548,140.05,1,6488.326388888889
32222,1789,1297,83.3,1,6488.421527777778
32223,1789,6329,105.31,1,6488.50625
32224,1789,21520,40.13,1,6488.617361111111
32225,1789,20098,67.59,1,6489.488888888889
32226,1789,4224,45.3,1,6489.605555555556
32227,1789,4224,31.41,1,6489.672916666666
32228,1789,4798,481.89,1,6489.686111111111
36289,1790,4285,93.8,1,8287.391666666666
36290,1790,1336,516.78,1,8287.549305555556
36291,1790,17445,9.18,1,8287.554861111112
36292,1790,3779,14.61,1,8287.5625
36348,1790,9118,136.79,1,8389.672916666666
36354,1790,17327,1.66,1,8392.596527777778
36356,1790,18612,0.44,1,8396.456944444444
36357,1790,17327,9.45,1,8396.577083333334
36359,1790,9543,22.76,1,8400.802083333334
36361,1790,10225,376.38,1,8403.743055555555
36362,1790,3051,36.63,1,8403.77986111111
36363,1790,17144,7.27,1,8406.791666666666
36370,1790,21267,34.63,1,8410.656944444445
36371,1790,13896,87.09,1,8412.459027777777
36372,1790,8209,51.86,1,8412.594444444445
37176,1790,8027,30.07,1,6552.305555555556
37177,1790,11976,184.33,1,6552.356944444445
37178,1790,4224,75.87,1,6552.4631944444445
37179,1790,3366,441.5,1,6552.492361111111
37180,1790,19227,4.47,1,6552.532638888889
37181,1790,2396,95.65,1,6552.601388888889
37182,1790,21267,0.79,1,6553.299305555555
37183,1790,16601,8.4,1,6553.372222222222
