index,Merchant Name,Merchant City,Merchant State,MCC
1610,3953,5982,61,5712
1621,3129,5982,61,7011
1625,5662,5982,61,5541
1626,5662,5982,61,5541
1629,22177,5982,61,5311
1631,22177,5982,61,5311
1632,18087,5982,61,5310
1633,8855,5982,61,5813
1637,16407,5982,61,3504
1643,18926,5982,61,5499
1648,8494,5982,61,5411
1649,13945,5982,61,5921
1650,836,5982,61,5912
1651,836,5982,61,5912
1652,16407,5982,61,3504
1687,357,5982,61,5499
1688,3173,5982,61,5311
1689,1852,5982,61,5311
1690,8494,5982,61,5411
4209,21606,6188,19,5300
4210,10494,474,19,5094
4211,1202,5007,154,5045
4212,2936,5007,154,5311
4213,778,5007,154,3005
4214,21008,3374,47,8062
4215,1481,5007,154,5311
4381,5722,5007,154,5815
4384,9782,5007,154,3001
4385,12445,5007,154,5300
4386,16997,5007,154,3775
4387,13597,5007,154,4899
4401,16997,5007,154,3775
4402,16997,5007,154,3775
5139,803,5606,48,5912
5140,16464,5007,154,5732
5141,19450,5007,154,5311
5142,2504,5007,154,5719
14694,12445,5007,154,5300
14695,18921,5007,154,5211
14696,8720,5007,154,5311
14697,3743,5007,154,3256
14698,21804,6983,63,5310
14699,2504,5007,154,5719
14700,6118,5007,154,4411
14701,2451,5007,154,5310
19438,1329,5007,154,5815
19441,17706,5007,154,5311
19443,2451,5007,154,5310
19447,16148,5007,154,7996
19448,22285,2002,19,5300
19456,17322,5007,154,5912
19457,1852,5007,154,5311
20572,17715,5007,154,5310
20573,2504,5007,154,5719
20574,6118,5007,154,4411
20575,6061,5007,154,5912
20576,12445,5007,154,5300
20577,7804,5007,154,5310
20578,878,5007,154,5310
20579,10054,5007,154,5651
20581,1329,5007,154,5815
20880,5352,5606,48,5094
20881,12353,5007,154,3000
20882,12769,5007,154,5094
20883,8329,5007,154,5970
20885,2676,5007,154,5251
20886,509,5007,154,5816
20887,9661,5007,154,4511
20888,1374,5007,154,4411
20892,7804,5007,154,5310
20893,12445,5007,154,5300
20894,16464,5007,154,5732
20895,16347,5007,154,5732
23887,20901,5007,154,5310
23888,8723,5007,154,4411
23889,19450,5007,154,5311
23890,17706,5007,154,5311
23891,15333,2976,19,5813
23894,4416,5007,154,4829
29925,9661,5007,154,4511
29926,17322,5007,154,5912
29928,1446,3717,75,5300
29929,17798,5007,154,5912
29930,1852,5007,154,5311
29976,1481,5007,154,5311
29977,1481,5007,154,5311
29978,2504,5007,154,5712
29979,12121,5007,154,5814
30947,17702,6257,75,5300
30954,3175,266,94,7995
30965,17702,6257,75,5300
30966,19597,3194,75,5812
30967,2936,333,75,5311
30970,12354,5908,75,5310
34026,2999,5007,154,7832
34027,18160,5007,154,4214
34028,20360,5007,154,5533
34033,16464,5007,154,5732
34036,19822,5007,154,7996
34037,21295,5007,154,4814
34040,12445,5007,154,5300
34042,15582,5007,154,4814
34043,6061,2714,75,5912
41039,8494,5982,61,5411
