index,User,Merchant Name,Amount,Is Fraud?,Datetime_As_Float
4099,0,9384,287.13,1,7454.538194444444
4100,0,8837,2.41,1,7454.554861111111
4101,0,5928,50.81,1,7455.403472222222
4102,0,15779,248.36,1,7455.406944444445
4103,0,9852,473.0,1,7455.472222222223
4104,0,3444,144.49,1,7455.481944444445
4105,0,11890,44.57,1,7455.572222222222
4106,0,15476,64.93,1,7456.591666666666
4107,0,21294,124.59,1,7456.649305555556
4108,0,16796,97.34,1,7456.665972222222
4109,0,2875,17.86,1,7456.670138888889
4111,0,9852,162.11,1,7459.315277777778
4112,0,9852,-473.0,1,7459.320833333333
9761,0,7423,81.93,1,7566.470833333334
9762,0,2875,297.86,1,7566.506944444444
13678,0,11890,11.04,1,4862.4006944444445
13683,0,1842,68.86,1,4864.4944444444445
13684,0,13582,96.19,1,4864.6625
13685,0,11642,298.0,1,4864.665277777778
13687,0,11973,3.72,1,4865.293055555556
13688,0,10422,75.41,1,4865.297222222222
13689,0,515,245.41,1,4865.340277777777
13690,0,21589,196.1,1,4865.342361111111
13698,0,11642,29.53,1,4872.377083333334
13699,0,11642,-298.0,1,4872.390972222222
17737,0,16972,244.23,1,7554.434722222222
17738,0,10781,22.4,1,7554.609722222222
21031,1,7497,181.74,1,7661.422222222222
21032,1,16771,3.28,1,7661.613888888889
21033,1,15674,143.95,1,7661.786111111111
21659,1,8899,488.0,1,8727.586805555555
21660,1,21294,14.22,1,8727.62013888889
21666,1,17409,13.79,1,8732.601388888888
21667,1,18711,12.27,1,8732.633333333333
21668,1,13358,38.63,1,8733.55763888889
21674,1,18609,55.58,1,8739.5625
21675,1,6793,63.38,1,8740.772222222222
21676,1,13582,130.19,1,8741.5875
21677,1,13582,38.36,1,8741.603472222223
21678,1,13210,49.31,1,8746.518055555556
24032,1,1643,61.14,1,4923.319444444444
24039,1,9852,262.17,1,4928.532638888889
24040,1,9852,134.0,1,4928.539583333333
28350,1,3634,77.96,1,5390.340277777777
28351,1,8343,3750.6,1,5390.352083333333
28352,1,6431,239.46,1,5390.435416666666
28353,1,17833,142.59,1,5390.524305555556
28354,1,5867,47.19,1,5390.622916666666
28355,1,2421,0.56,1,5390.659722222223
28357,1,18661,69.58,1,5391.256944444444
28358,1,2706,43.79,1,5391.261805555556
28359,1,2875,147.63,1,5391.319444444444
28360,1,6431,157.78,1,5391.335416666667
28361,1,12173,169.56,1,5391.522916666667
28362,1,13872,10.62,1,5391.535416666667
28363,1,771,384.49,1,5393.347916666667
28364,1,16601,7.78,1,5393.465972222222
28365,1,11622,219.72,1,5393.502777777778
28366,1,16261,23.97,1,5393.534027777778
28367,1,11890,10.34,1,5393.549305555555
44465,2,14516,138.95,1,3993.360416666667
44466,2,15792,44.95,1,3993.5284722222223
44467,2,8088,28.53,1,3993.530555555556
44471,2,14625,37.77,1,3993.6784722222224
57543,2,13210,8.84,1,8241.475
57544,2,13582,874.49,1,8241.490972222222
57545,2,17741,2.05,1,8241.611111111111
57546,2,17409,6.13,1,8241.62013888889
57547,2,8145,6.04,1,8241.678472222222
57548,2,10290,85.14,1,8241.681944444445
57549,2,15394,33.4,1,8241.711805555555
57550,2,5439,8.48,1,8241.713194444445
57551,2,5439,85.0,1,8241.71736111111
57552,2,5439,-85.0,1,8241.727777777778
57553,2,3071,22.42,1,8241.772916666667
57554,2,2478,327.87,1,8242.513194444444
57556,2,21294,24.96,1,8242.62986111111
57557,2,8145,7.47,1,8242.62986111111
57558,2,16649,18.92,1,8242.742361111112
57716,2,12049,5.77,1,8327.604166666666
57717,2,7982,5.31,1,8327.624305555555
57726,2,15394,193.2,1,8330.527083333332
57727,2,21294,8.71,1,8330.773611111112
57728,2,11737,-95.0,1,8330.777083333332
57729,2,11737,17.63,1,8330.777777777777
