index,User,Card,Use Chip
822,1384,0,1
823,1384,0,1
825,1384,0,1
826,1384,0,0
830,1384,0,0
831,1384,0,0
832,1384,0,1
17538,1387,0,1
17539,1387,0,1
17540,1387,0,1
27673,1389,0,2
27675,1389,0,1
46185,1389,0,0
46186,1389,0,0
46193,1389,0,0
46198,1389,0,0
46214,1389,0,0
46215,1389,0,0
46224,1389,0,0
62352,1392,1,1
62354,1392,1,2
62355,1392,1,1
62356,1392,1,1
62357,1392,1,1
62358,1392,1,2
62359,1392,1,2
62360,1392,1,1
62361,1392,1,1
62362,1392,1,1
62364,1392,1,1
62366,1392,1,1
62367,1392,1,1
62370,1392,1,1
62371,1392,1,1
62372,1392,1,2
62376,1392,1,1
62377,1392,1,1
62379,1392,1,1
62380,1392,1,1
63104,1392,1,1
63105,1392,1,2
76943,1392,4,1
76945,1392,4,2
76946,1392,4,1
76947,1392,4,2
79034,1392,5,1
79035,1392,5,1
79037,1392,5,1
79038,1392,5,1
80837,1393,0,1
80838,1393,0,1
80839,1393,0,1
80840,1393,0,1
80841,1393,0,1
80844,1393,0,1
80846,1393,0,1
80848,1393,0,1
80849,1393,0,1
80850,1393,0,1
80862,1393,0,1
80863,1393,0,1
85415,1393,0,0
85430,1393,0,0
85432,1393,0,0
85436,1393,0,0
85437,1393,0,0
85438,1393,0,0
85439,1393,0,0
85440,1393,0,0
85442,1393,0,0
85454,1393,0,0
88142,1394,0,1
88143,1394,0,1
88145,1394,0,1
88146,1394,0,1
88147,1394,0,2
88148,1394,0,1
88149,1394,0,2
88150,1394,0,1
88151,1394,0,1
88152,1394,0,1
88154,1394,0,1
88155,1394,0,1
90234,1394,0,1
90235,1394,0,1
90236,1394,0,1
90237,1394,0,1
90749,1394,0,0
90750,1394,0,0
90751,1394,0,0
90752,1394,0,0
90753,1394,0,0
90754,1394,0,0
90757,1394,0,0
92857,1394,1,2
92858,1394,1,1
92859,1394,1,1
92860,1394,1,1
92861,1394,1,1
92863,1394,1,1
92864,1394,1,1
92866,1394,1,1
92867,1394,1,1
92873,1394,1,1
92874,1394,1,1
92965,1394,1,1
92966,1394,1,1
92967,1394,1,1
93194,1394,1,2
93195,1394,1,2
93197,1394,1,2
93200,1394,1,2
93203,1394,1,2
93204,1394,1,2
93205,1394,1,2
93206,1394,1,2
93209,1394,1,2
93211,1394,1,2
96051,1394,1,1
96052,1394,1,1
96053,1394,1,1
97497,1395,0,1
97498,1395,0,1
97499,1395,0,1
97500,1395,0,1
97501,1395,0,1
97502,1395,0,1
97503,1395,0,1
97504,1395,0,1
97505,1395,0,1
97506,1395,0,1
97508,1395,0,1
97510,1395,0,1
97517,1395,0,1
97518,1395,0,1
108361,1395,1,1
108362,1395,1,1
108363,1395,1,1
117979,1396,0,2
117980,1396,0,1
117982,1396,0,1
117983,1396,0,1
130638,1397,0,1
130639,1397,0,1
130641,1397,0,2
130642,1397,0,2
130643,1397,0,1
130644,1397,0,1
130647,1397,0,1
130648,1397,0,1
130652,1397,0,1
130653,1397,0,1
133618,1397,0,1
133619,1397,0,1
133621,1397,0,1
145518,1397,2,0
145519,1397,2,1
145520,1397,2,1
145531,1397,2,1
145532,1397,2,1
145533,1397,2,1
145534,1397,2,1
145535,1397,2,1
155170,1398,0,1
155171,1398,0,2
155172,1398,0,1
155173,1398,0,1
155174,1398,0,2
155175,1398,0,2
155176,1398,0,1
155177,1398,0,1
158951,1398,0,0
158957,1398,0,0
158974,1398,0,0
158975,1398,0,0
158979,1398,0,0
158980,1398,0,0
158993,1398,0,0
159000,1398,0,0
159001,1398,0,0
166632,1398,1,2
166633,1398,1,1
166635,1398,1,1
166636,1398,1,1
168150,1398,1,1
168151,1398,1,1
168153,1398,1,1
168154,1398,1,1
168155,1398,1,1
168156,1398,1,1
168157,1398,1,1
168159,1398,1,1
168162,1398,1,1
168170,1398,1,1
168171,1398,1,1
180139,1399,0,1
180140,1399,0,1
180142,1399,0,1
180143,1399,0,1
180147,1399,0,1
180148,1399,0,1
180149,1399,0,1
180150,1399,0,1
180153,1399,0,1
180154,1399,0,1
180155,1399,0,1
180156,1399,0,1
180158,1399,0,1
180159,1399,0,1
180161,1399,0,1
180163,1399,0,1
180165,1399,0,1
180166,1399,0,2
180167,1399,0,1
180169,1399,0,1
180171,1399,0,1
180172,1399,0,1
180174,1399,0,1
180175,1399,0,1
180191,1399,0,1
180192,1399,0,1
187184,1399,1,1
187189,1399,1,1
187190,1399,1,1
187191,1399,1,1
187192,1399,1,1
187193,1399,1,1
187194,1399,1,1
187195,1399,1,1
187196,1399,1,1
187197,1399,1,1
187198,1399,1,1
187199,1399,1,1
187202,1399,1,1
187203,1399,1,1
188669,1399,1,1
188670,1399,1,1
188671,1399,1,2
188672,1399,1,1
188674,1399,1,1
188675,1399,1,1
188676,1399,1,2
188678,1399,1,1
188679,1399,1,1
188680,1399,1,1
188682,1399,1,1
188683,1399,1,1
188684,1399,1,1
188685,1399,1,1
188686,1399,1,1
188690,1399,1,1
188691,1399,1,1
188695,1399,1,1
188696,1399,1,1
188697,1399,1,2
192469,1400,0,0
192473,1400,0,0
192474,1400,0,0
192479,1400,0,0
192480,1400,0,0
192481,1400,0,0
192483,1400,0,0
192485,1400,0,0
192486,1400,0,0
194996,1400,1,2
194997,1400,1,2
195314,1400,1,1
195315,1400,1,1
195322,1400,1,1
195323,1400,1,1
195335,1400,1,1
195342,1400,1,1
195348,1400,1,2
195349,1400,1,2
195352,1400,1,2
195367,1400,1,2
195376,1400,1,1
195377,1400,1,1
197822,1400,2,0
197823,1400,2,1
197824,1400,2,1
197827,1400,2,1
203649,1400,5,1
203650,1400,5,1
203651,1400,5,2
203652,1400,5,1
207455,1401,0,2
207456,1401,0,1
207458,1401,0,1
207460,1401,0,1
207461,1401,0,1
211321,1401,0,1
211322,1401,0,1
211323,1401,0,2
211332,1401,0,1
211334,1401,0,1
211336,1401,0,1
211337,1401,0,1
211338,1401,0,1
211339,1401,0,1
211341,1401,0,1
211355,1401,0,1
211356,1401,0,1
213946,1401,0,0
215909,1401,1,1
230647,1402,1,2
230653,1402,1,2
230658,1402,1,2
230659,1402,1,2
230663,1402,1,2
230670,1402,1,2
230671,1402,1,2
230673,1402,1,2
230683,1402,1,2
230687,1402,1,2
230691,1402,1,2
230705,1402,1,2
230710,1402,1,2
237158,1402,2,1
237159,1402,2,1
237161,1402,2,1
237162,1402,2,1
237163,1402,2,1
237169,1402,2,1
237170,1402,2,1
237173,1402,2,1
237174,1402,2,1
237175,1402,2,1
237176,1402,2,1
237177,1402,2,1
237178,1402,2,1
237179,1402,2,1
237188,1402,2,1
237189,1402,2,1
238595,1402,2,1
238596,1402,2,1
238597,1402,2,1
238604,1402,2,1
238605,1402,2,1
238606,1402,2,1
238607,1402,2,1
238608,1402,2,2
238611,1402,2,1
238612,1402,2,1
245118,1403,3,2
245122,1403,3,2
245123,1403,3,2
245126,1403,3,2
246218,1403,3,2
246219,1403,3,1
246220,1403,3,1
246221,1403,3,2
246222,1403,3,1
246223,1403,3,1
246224,1403,3,1
246225,1403,3,1
246226,1403,3,1
246227,1403,3,2
246230,1403,3,1
246231,1403,3,1
251551,1403,4,1
251553,1403,4,1
251554,1403,4,1
251555,1403,4,1
251556,1403,4,1
251557,1403,4,1
251558,1403,4,1
251561,1403,4,1
251562,1403,4,1
251563,1403,4,1
251564,1403,4,1
251565,1403,4,1
257891,1404,1,1
257893,1404,1,1
257894,1404,1,1
257897,1404,1,1
257898,1404,1,1
262367,1404,1,1
262368,1404,1,1
262369,1404,1,1
262370,1404,1,1
264606,1404,2,2
264608,1404,2,2
264612,1404,2,2
270250,1404,2,1
270251,1404,2,1
270252,1404,2,1
270622,1404,2,1
270623,1404,2,2
286140,1405,1,1
287377,1405,1,0
287378,1405,1,0
287381,1405,1,0
287382,1405,1,0
287393,1405,1,0
287396,1405,1,0
287397,1405,1,0
289105,1406,0,1
289107,1406,0,2
289109,1406,0,2
289110,1406,0,2
289111,1406,0,1
289112,1406,0,1
289114,1406,0,1
289135,1406,0,1
289136,1406,0,1
301680,1409,3,1
301681,1409,3,1
301682,1409,3,1
301683,1409,3,1
301684,1409,3,1
301685,1409,3,1
301686,1409,3,1
301687,1409,3,1
301688,1409,3,1
301689,1409,3,1
301690,1409,3,1
301700,1409,3,1
301701,1409,3,1
334149,1412,2,1
